TransmitterID,anchorID, Avg, Distance
rpi4, rpi19,-74.92307692,12.502
rpi19, rpi18,-60.92307692,2.45
rpi19, rpi17,-60.30769231,3.521
rpi19, rpi21,-65.66666667,4.254
rpi19, rpi16,-62.48717949,4.888
rpi19, rpi13,-66.38461538,6.093
rpi19, rpi9,-72.48717949,7.102
rpi19, rpi12,-62.79487179,7.602
rpi19, rpi8,-75.33333333,9.317
rpi19, rpi15,-65.61538462,10.266
rpi19, rpi10,-79.33333333,10.64
rpi19, rpi24,-69.79487179,10.985
rpi19, rpi4,-75.66666667,12.502
rpi15, rpi24,-77.17948718,2.99
rpi15, rpi10,-63.64102564,3.607
rpi15, rpi13,-53.05128205,4.522
rpi15, rpi12,-67.58974359,5.445
rpi15, rpi16,-64.38461538,5.908
rpi15, rpi21,-61.74358974,6.513
rpi15, rpi4,-71.79487179,7.71
rpi15, rpi17,-67.38461538,7.991
rpi15, rpi9,-60.46153846,8.02
rpi15, rpi8,-69.92307692,8.436
rpi15, rpi19,-65.97435897,10.266
rpi15, rpi18,-67.35897436,10.458
rpi9, rpi8,-53.53846154,2.254
rpi9, rpi12,-43.69230769,2.634
rpi9, rpi16,-64.05128205,3.36
rpi9, rpi17,-58.58974359,3.793
rpi9, rpi4,-67.69230769,4.689
rpi9, rpi13,-60.46153846,5.222
rpi9, rpi18,-60.92307692,5.449
rpi9, rpi10,-61.94871795,5.844
rpi9, rpi21,-66.69230769,6.943
rpi9, rpi19,-71.41025641,7.102
rpi9, rpi15,-62.15384615,8.02
rpi9, rpi24,-64.84615385,10.322
rpi12, rpi9,-44.375,2.634
rpi12, rpi16,-52.675,2.663
rpi12, rpi8,-53.0,3.45
rpi12, rpi13,-55.8,3.547
rpi12, rpi10,-55.775,3.801
rpi12, rpi17,-69.675,4.253
rpi12, rpi4,-63.95,5.29
rpi12, rpi15,-71.325,5.445
rpi12, rpi21,-64.55,5.993
rpi12, rpi18,-52.375,6.612
rpi12, rpi24,-66.825,7.426
rpi12, rpi19,-62.95,7.602
